type,geometry.type,geometry.coordinates,properties.id_station,properties.denominazione,properties.rete,properties.interesse_rete,properties.tipologia_di_stazione,properties.tipologia_di_area,properties.comune,properties.provincia,properties.paese,properties.paese_esteso,properties.inquinante_misurato,properties.valore_inquinante_misurato,properties.limite,properties.superamenti,properties.unita_misura,properties.indice_qualita,properties.data_di_misurazione,properties.responsabile_dato,properties.punto_di_contatto,properties.sorgente,properties.version,properties.marker-color,properties.name
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,NO2,17.0,200.0,0,µg/m³,9.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Monopoli - Liceo Artistico Russo
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,PM10,11.0,50.0,5,µg/m³,22.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Monopoli - Liceo Artistico Russo
Feature,Point,"[17.284267, 40.96158]",92,Monopoli - Liceo Artistico Russo,RRQA,PUBBLICO,Traffico,Suburbana,Monopoli,Bari,IT,Italy,PM2.5,5.0,25.0,3,µg/m³,20.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Monopoli - Liceo Artistico Russo
Feature,Point,"[16.70083, 41.061386]",107,Palo del Colle - EN05,RRQA,PRIVATO,Industriale,Suburbana,Palo del Colle,Bari,IT,Italy,CO,0.4,10.0,0,mg/m³,4.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Palo del Colle - EN05
Feature,Point,"[16.70083, 41.061386]",107,Palo del Colle - EN05,RRQA,PRIVATO,Industriale,Suburbana,Palo del Colle,Bari,IT,Italy,NO2,21.0,200.0,0,µg/m³,11.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Palo del Colle - EN05
Feature,Point,"[16.70083, 41.061386]",107,Palo del Colle - EN05,RRQA,PRIVATO,Industriale,Suburbana,Palo del Colle,Bari,IT,Italy,PM10,16.0,50.0,6,µg/m³,32.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Palo del Colle - EN05
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,C6H6,0.4,5.0,0,µg/m³,8.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Andria - Vaccina
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,CO,0.3,10.0,0,mg/m³,3.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Andria - Vaccina
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,NO2,,200.0,0,µg/m³,,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#ffffff,Andria - Vaccina
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,PM10,19.0,50.0,6,µg/m³,38.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#9acc00,Andria - Vaccina
Feature,Point,"[16.30394, 41.233276]",63,Andria - Vaccina,RRQA,PUBBLICO,Traffico,Urbana,Andria,BAT,IT,Italy,PM2.5,8.0,25.0,6,µg/m³,32.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Andria - Vaccina
Feature,Point,"[16.286112, 41.316666]",71,Barletta - Casardi,RRQA,PUBBLICO,Fondo,Urbana,Barletta,BAT,IT,Italy,C6H6,0.2,5.0,0,µg/m³,4.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Barletta - Casardi
Feature,Point,"[16.286112, 41.316666]",71,Barletta - Casardi,RRQA,PUBBLICO,Fondo,Urbana,Barletta,BAT,IT,Italy,NO2,26.0,200.0,0,µg/m³,13.0,2024-05-23,Arpa Puglia - Direzione Scientifica - Centro Regionale Aria,Arpa Puglia - Sistemi Informativi,ARPAP,v1.0.0,#00ffff,Barletta - Casardi
